Variable,Valor,Etiqueta
trim,1,Ene - Mar 2017
trim,2,Abr - Jun 2017
trim,3,Jul - Sep 2017
trim,4,Oct - Dic 2017
region,1,Matamoros
region,2,Nuevo Laredo
region,3,Piedras Negras
region,4,Cd. Juárez
region,5,Nogales
region,6,Mexicali
region,7,Tijuana
punto,97,No sabe
punto,98,No responde
punto,99,No especificado
sexo,1,Hombre
sexo,2,Mujer
sexo,97,No sabe
sexo,98,No responde
sexo,99,No especificado
edad,97,No sabe
edad,98,No responde
edad,99,No especificado
nacio,-1,Es menor de 15 años
nacio,1,México
nacio,2,Estados Unidos
nacio,3,Guatemala
nacio,4,El Salvador
nacio,5,Honduras
nacio,6,Otro país
nacio,97,No sabe
nacio,98,No responde
nacio,99,No especificado
origen,-3,Nació en otro país
origen,-2,Nació en México
origen,-1,Es menor de 15 años
origen,1,Sí
origen,2,No
origen,97,No sabe
origen,98,No responde
origen,99,No especificado
viveloc,-4,"Nació en EUA, es de origen mexicano o México-americano"
viveloc,-3,Nació en otro país
viveloc,-1,Es menor de 15 años
viveloc,1,Sí
viveloc,2,No
viveloc,97,No sabe
viveloc,98,No responde
viveloc,99,No especificado
paisvive,-5,Vive en el lugar de la entrevista
paisvive,-4,"Nació en EUA, es de origen mexicano o México-americano"
paisvive,-3,Nació en otro país
paisvive,-1,Es menor de 15 años
paisvive,1,México
paisvive,2,Estados Unidos
paisvive,3,Otro país
paisvive,97,No sabe
paisvive,98,No responde
paisvive,99,No especificado
razon,-6,Vive en otro país
razon,-5,Vive en el lugar de la entrevista
razon,-4,"Nació en EUA, es de origen mexicano o México-americano"
razon,-3,Nació en otro país
razon,-1,Es menor de 15 años
razon,1,estudio?
razon,2,"turismo, paseo, compras?"
razon,3,visita a familiares o amistades?
razon,4,en tránsito hacia el norte (EU)?
razon,5,por motivos de trabajo?
razon,6,negocios?
razon,7,trabajar o buscar trabajo?
razon,8,cambio de residencia?
razon,97,No sabe
razon,98,No responde
razon,99,No especificado
trabaja,-7,"Viene a trabajar, buscar trabajo o cambio de residencia"
trabaja,-6,Vive en otro país
trabaja,-5,Vive en el lugar de la entrevista
trabaja,-4,"Nació en EUA, es de origen mexicano o México-americano"
trabaja,-3,Nació en otro país
trabaja,-1,Es menor de 15 años
trabaja,1,Sí
trabaja,2,No
trabaja,97,No sabe
trabaja,98,No responde
trabaja,99,No especificado
regresa,-8,Tiene trabajo en su lugar de procedencia
regresa,-7,"Viene a trabajar, buscar trabajo o cambio de residencia"
regresa,-6,Vive en otro país
regresa,-5,Vive en el lugar de la entrevista
regresa,-4,"Nació en EUA, es de origen mexicano o México-americano"
regresa,-3,Nació en otro país
regresa,-1,Es menor de 15 años
regresa,1,Sí
regresa,2,No
regresa,97,No sabe
regresa,98,No responde
regresa,99,No especificado
p1,1,Solo(a)
p1,2,Acompañado(a)
p1,97,No sabe
p1,98,No responde
p1,99,No especificado
p1_1,-9,Viene solo(a) en este viaje
p1_1,97,No sabe
p1_1,98,No responde
p1_1,99,No especificado
p1_2,-9,Viene solo(a) en este viaje
p1_2,0,Ninguna
p1_2,97,No sabe
p1_2,98,No responde
p1_2,99,No especificado
p1_2_1,-10,Ninguna persona que le acompaña es menor de 15 años
p1_2_1,-9,Viene solo(a) en este viaje
p1_2_1,1,Sí
p1_2_1,2,Algunos(as)
p1_2_1,3,No
p1_2_1,97,No sabe
p1_2_1,98,No responde
p1_2_1,99,No especificado
p1_2_2,-11,No son sus hijos(as) los(as) menores de 15 años que le acompañan
p1_2_2,-10,Ninguna persona que le acompaña es menor de 15 años
p1_2_2,-9,Viene solo(a) en este viaje
p1_2_2,1,Para que esté(n) con usted
p1_2_2,2,"Para reunirlos(as) con su padre, madre o familiares"
p1_2_2,3,Para alejarlos(as) de la violencia
p1_2_2,4,Para que tenga(n) mejores oportunidades de vida
p1_2_2,5,Para que trabaje(n)
p1_2_2,6,Porque es más fácil para las personas menores de edad obtener la regularización en Estados Unidos
p1_2_2,7,Otra
p1_2_2,97,No sabe
p1_2_2,98,No responde
p1_2_2,99,No especificado
p1_3,-9,Viene solo(a) en este viaje
p1_3,0,Ninguna
p1_3,97,No sabe
p1_3,98,No responde
p1_3,99,No especificado
p2,1,Sí
p2,2,No
p2,97,No sabe
p2,98,No responde
p2,99,No especificado
p2_1,-12,No aprobó o cursó algún año en la escuela
p2_1,1,México
p2_1,2,Estados Unidos
p2_1,3,Otro país
