Variable,Valor,Etiqueta
trim,3,Jul - Sep 2020
trim,4,Oct - Dic 2020
region,1,Matamoros
region,2,Nuevo Laredo
region,3,Piedras Negras
region,4,Cd. Juárez
region,5,Nogales
region,6,Mexicali
region,7,Tijuana
ciudad,97,No sabe
ciudad,98,No responde
ciudad,99,No especificado
punto,97,No sabe
punto,98,No responde
punto,99,No especificado
turno,1,00:00 - 07:59 am.
turno,2,08:00 - 15:59 pm.
turno,3,16:00 - 23:59 pm.
sexo,1,Hombre
sexo,2,Mujer
sexo,97,No sabe
sexo,98,No responde
sexo,99,No especificado
edad,97,No sabe
edad,98,No responde
edad,99,No especificado
nacio,-1,Es menor de 15 años
nacio,1,México
nacio,2,Estados Unidos
nacio,3,Guatemala
nacio,4,El Salvador
nacio,5,Honduras
nacio,6,Otro país
nacio,97,No sabe
nacio,98,No responde
nacio,99,No especificado
origen,-3,Nació en otro país
origen,-2,Nació en México
origen,-1,Es menor de 15 años
origen,1,Sí
origen,2,No
origen,97,No sabe
origen,98,No responde
origen,99,No especificado
viveloc,-4,"Nació en EUA, es de origen mexicano o México-americano"
viveloc,-3,Nació en otro país
viveloc,-1,Es menor de 15 años
viveloc,1,Sí
viveloc,2,No
viveloc,97,No sabe
viveloc,98,No responde
viveloc,99,No especificado
paisvive,-5,Vive en el lugar de la entrevista
paisvive,-4,"Nació en EUA, es de origen mexicano o México-americano"
paisvive,-3,Nació en otro país
paisvive,-1,Es menor de 15 años
paisvive,1,México
paisvive,2,Estados Unidos
paisvive,3,Otro país
paisvive,97,No sabe
paisvive,98,No responde
paisvive,99,No especificado
razon,-6,Vive en otro país diferente de México
razon,-5,Vive en el lugar de la entrevista
razon,-4,"Nació en EUA, es de origen mexicano o México-americano"
razon,-1,Es menor de 15 años
razon,1,estudio?
razon,2,"turismo, paseo, compras?"
razon,3,visita a familiares o amistades?
razon,4,en tránsito hacia el norte (EU)?
razon,5,por motivos de trabajo?
razon,6,negocios?
razon,7,trabajar o buscar trabajo?
razon,8,cambio de residencia?
razon,9,solicitar asilo o refugio?
razon,97,No sabe
razon,98,No responde
razon,99,No especificado
trabaja,-51,"Nació en un país diferente de México y EUA, y visita la zona fronteriza para solicita asilo o refugio"
trabaja,-50,"Nació en un país diferente de México y EUA;  y visita la zona fronteriza para trabajar, buscar trabajo o cambio de resid"
trabaja,-8,"Nació en México y visita la zona fronteriza por razones de trabajo, residencia o asilo"
trabaja,-7,Nació en un país diferente de México y EUA
trabaja,-6,Vive en otro país diferente de México
trabaja,-5,Vive en el lugar de la entrevista
trabaja,-4,"Nació en EUA, es de origen mexicano o México-americano"
trabaja,-1,Es menor de 15 años
trabaja,1,Sí
trabaja,2,No
trabaja,97,No sabe
trabaja,98,No responde
trabaja,99,No especificado
regresa,-52,Tiene trabajo en su lugar de procedencia
regresa,-51,"Nació en un país diferente de México y EUA, y visita la zona fronteriza para solicita asilo o refugio"
regresa,-50,"Nació en un país diferente de México y EUA;  y visita la zona fronteriza para trabajar, buscar trabajo o cambio de resid"
regresa,-8,"Nació en México y visita la zona fronteriza por razones de trabajo, residencia o asilo"
regresa,-7,Nació en un país diferente de México y EUA
regresa,-6,Vive en otro país diferente de México
regresa,-5,Vive en el lugar de la entrevista
regresa,-4,"Nació en EUA, es de origen mexicano o México-americano"
regresa,-1,Es menor de 15 años
regresa,1,Sí
regresa,2,No
regresa,97,No sabe
regresa,98,No responde
regresa,99,No especificado
p1,0,Ninguno
p1,97,No sabe
p1,98,No responde
p1,99,No especificado
p1_1,-9,Viene solo(a) en este viaje
p1_1,0,Ninguna
p1_1,97,No sabe
p1_1,98,No responde
p1_1,99,No especificado
p1_1_1,-10,No le acompañan menores de 18 años
p1_1_1,-9,Viene solo(a) en este viaje
p1_1_1,1,Sí
p1_1_1,2,Algunos(as)
p1_1_1,3,No
p1_1_1,97,No sabe
p1_1_1,98,No responde
p1_1_1,99,No especificado
p1_1_1_1_1,-11,No son sus hijos(as) los(as) menores de 18 años que le acompañan
p1_1_1_1_1,-10,No le acompañan menores de 18 años
p1_1_1_1_1,-9,Viene solo(a) en este viaje
p1_1_1_1_1,1,Para que esté(n) con usted
p1_1_1_1_1,2,"Para reunirlos(as) con su padre, madre o familiares"
p1_1_1_1_1,3,Para alejarlos(as) de la violencia
p1_1_1_1_1,4,Para que tenga(n) mejores oportunidades de vida
p1_1_1_1_1,5,Para que trabaje(n)
p1_1_1_1_1,6,Porque es más fácil para las personas menores de edad obtener la regularización en EU
p1_1_1_1_1,7,Otra
p1_1_1_1_1,97,No sabe
p1_1_1_1_1,98,No responde
p1_1_1_1_1,99,No especificado
p1_1_1_1_2,-11,No son sus hijos(as) los(as) menores de 18 años que le acompañan
p1_1_1_1_2,-10,No le acompañan menores de 18 años
p1_1_1_1_2,-9,Viene solo(a) en este viaje
p1_1_1_1_2,1,Para que esté(n) con usted
p1_1_1_1_2,2,"Para reunirlos(as) con su padre, madre o familiares"
p1_1_1_1_2,3,Para alejarlos(as) de la violencia
p1_1_1_1_2,4,Para que tenga(n) mejores oportunidades de vida
p1_1_1_1_2,5,Para que trabaje(n)
p1_1_1_1_2,6,Porque es más fácil para las personas menores de edad obtener la regularización en EU
p1_1_1_1_2,7,Otra
p1_1_1_1_2,96,Sólo dio una opción
p1_1_1_1_2,97,No sabe
p1_1_1_1_2,98,No responde
p1_1_1_1_2,99,No especificado
p1_2,-9,Viene solo(a) en este viaje
p1_2,0,Ninguna
p1_2,97,No sabe
p1_2,98,No responde
p1_2,99,No especificado
p2,1,Sí
p2,2,No
p2,97,No sabe
p2,98,No responde
p2,99,No especificado
p2_1,-12,No aprobó o cursó algún año en la escuela
p2_1,1,México
p2_1,2,Estados Unidos
p2_1,3,Otro país
p2_1,97,No sabe
p2_1,98,No responde
p2_1,99,No especificado
p2_1_1a,-13,El último año que aprobó fue en EUA
p2_1_1a,-12,No aprobó o cursó algún año en la escuela
p2_1_1a,0,Ninguno
p2_1_1a,97,No sabe
p2_1_1a,98,No responde
p2_1_1a,99,No especificado
p2_1_1n,-13,El último año que aprobó fue en EUA
p2_1_1n,-12,No aprobó o cursó algún año en la escuela
p2_1_1n,0,Ninguno
p2_1_1n,1,Primaria
p2_1_1n,2,Secundaria
p2_1_1n,3,Preparatoria
p2_1_1n,4,Estudios técnicos o comerciales con primaria terminada
p2_1_1n,5,Estudios técnicos o comerciales con secundaria terminada
p2_1_1n,6,Estudios técnicos o comerciales con preparatoria terminada
p2_1_1n,7,Normal con secundaria terminada
p2_1_1n,8,Normal de licenciatura (normal con preparatoria terminada)
p2_1_1n,9,Profesional
p2_1_1n,10,Maestría
p2_1_1n,11,Doctorado
p2_1_1n,97,No sabe
p2_1_1n,98,No responde
p2_1_1n,99,No especificado
p2_1_2a,-15,Secundaria en adelante
p2_1_2a,-14,No tiene escolaridad o la primaria fue su último nivel escolar
p2_1_2a,-12,No aprobó o cursó algún año en la escuela
p2_1_2a,0,Ninguno
p2_1_2a,97,No sabe
p2_1_2a,98,No responde
p2_1_2a,99,No especificado
p2_1_2n,-15,Secundaria en adelante
p2_1_2n,-14,No tiene escolaridad o la primaria fue su último nivel escolar
p2_1_2n,-12,No aprobó o cursó algún año en la escuela
p2_1_2n,0,Ninguno
p2_1_2n,1,Elementary
p2_1_2n,2,Middle School
p2_1_2n,3,High School
p2_1_2n,4,College
p2_1_2n,5,Vocational/technical institution
p2_1_2n,6,Master
p2_1_2n,7,PH Doctor
p2_1_2n,97,No sabe
p2_1_2n,98,No responde
p2_1_2n,99,No especificado
p3,-16,7 u 8 años de Elementary o Middle School en adelante
p3,-15,Secundaria en adelante
p3,1,Sí
p3,2,No
p3,97,No sabe
p3,98,No responde
p3,99,No especificado
p4,1,Sí
p4,2,No
p4,97,No sabe
p4,98,No responde
p4,99,No especificado
p4_1,1,Sí
p4_1,2,No
p4_1,97,No sabe
p4_1,98,No responde
p4_1,99,No especificado
p5,1,Muy bien
p5,2,Bien
p5,3,Regular
p5,4,Mal
p5,5,Muy mal
p5,6,No habla
p5,97,No sabe
p5,98,No responde
p5,99,No especificado
p6,1,Sí
p6,2,No
p6,97,No sabe
p6,98,No responde
p6,99,No especificado
p7,1,vive en unión libre?
p7,2,es separado(a)?
p7,3,es divorciado(a)?
p7,4,es viudo(a)?
p7,5,es casado(a)?
p7,6,es soltero(a)?
p7,97,No sabe
p7,98,No responde
p7,99,No especificado
p8,1,Sí
p8,2,No
p8,97,No sabe
p8,98,No responde
p8,99,No especificado
p8_1,-17,Es el(la) jefe(a) del hogar
p8_1,1,"Esposo, esposa o pareja"
p8_1,2,Padre o madre
p8_1,3,Hermano o hermana
p8_1,4,Hijo o hija
p8_1,5,Otro parentesco
p8_1,6,Sin relación de parentesco
p8_1,97,No sabe
p8_1,98,No responde
p8_1,99,No especificado
p9,1,Vive solo(a)
p9,97,No sabe
p9,98,No responde
p9,99,No especificado
p9_1_1,-18,Vive solo(a)
p9_1_1,97,No sabe
p9_1_1,98,No responde
p9_1_1,99,No especificado
p9_1_2,-18,Vive solo(a)
p9_1_2,97,No sabe
p9_1_2,98,No responde
p9_1_2,99,No especificado
p9_1_3,-18,Vive solo(a)
p9_1_3,97,No sabe
p9_1_3,98,No responde
p9_1_3,99,No especificado
p9_2,-18,Vive solo(a)
p9_2,0,Ninguna
p9_2,97,No sabe
p9_2,98,No responde
p9_2,99,No especificado
p9_3,-18,Vive solo(a)
p9_3,1,Sí
p9_3,2,No
p9_3,97,No sabe
p9_3,98,No responde
p9_3,99,No especificado
p10p,1,México
p10p,2,Otro país
p10p,97,No sabe
p10p,98,No responde
p10p,99,No especificado
p10e,-19,Nació en otro país
p10e,1,Aguascalientes
p10e,2,Baja California
p10e,3,Baja California Sur
p10e,4,Campeche
p10e,5,Coahuila de Zaragoza
p10e,6,Colima
p10e,7,Chiapas
p10e,8,Chihuahua
p10e,9,Distrito Federal
p10e,10,Durango
p10e,11,Guanajuato
p10e,12,Guerrero
p10e,13,Hidalgo
p10e,14,Jalisco
p10e,15,México
p10e,16,Michoacán de Ocampo
p10e,17,Morelos
p10e,18,Nayarit
p10e,19,Nuevo León
p10e,20,Oaxaca
p10e,21,Puebla
p10e,22,Querétaro
p10e,23,Quintana Roo
p10e,24,San Luis Potosí
p10e,25,Sinaloa
p10e,26,Sonora
p10e,27,Tabasco
p10e,28,Tamaulipas
p10e,29,Tlaxcala
p10e,30,Veracruz de Ignacio de la Llave
p10e,31,Yucatán
p10e,32,Zacatecas
p10e,97,No Sabe
p10e,98,No responde
p10e,99,No especificado
p10m,-19,Nació en otro país
p10m,1001,Aguascalientes
p10m,1002,Asientos
p10m,1003,Calvillo
p10m,1004,Cosío
p10m,1005,Jesús María
p10m,1006,Pabellón de Arteaga
p10m,1007,Rincón de Romos
p10m,1008,San José de Gracia
p10m,1009,Tepezalá
p10m,1010,El Llano
p10m,1011,San Francisco de los Romo
p10m,2001,Ensenada
p10m,2002,Mexicali
p10m,2003,Tecate
p10m,2004,Tijuana
p10m,2005,Playas de Rosarito
p10m,3001,Comondú
p10m,3002,Mulegé
p10m,3003,La Paz
p10m,3008,Los Cabos
p10m,3009,Loreto
p10m,4001,Calkiní
p10m,4002,Campeche
p10m,4003,Carmen
p10m,4004,Champotón
p10m,4005,Hecelchakán
p10m,4006,Hopelchén
p10m,4007,Palizada
p10m,4008,Tenabo
p10m,4009,Escárcega
p10m,4010,Calakmul
p10m,4011,Candelaria
p10m,5001,Abasolo
p10m,5002,Acuña
p10m,5003,Allende
p10m,5004,Arteaga
p10m,5005,Candela
p10m,5006,Castaños
p10m,5007,Cuatro Ciénegas
p10m,5008,Escobedo
p10m,5009,Francisco I. Madero
p10m,5010,Frontera
p10m,5011,General Cepeda
p10m,5012,Guerrero
p10m,5013,Hidalgo
p10m,5014,Jiménez
p10m,5015,Juárez
p10m,5016,Lamadrid
p10m,5017,Matamoros
p10m,5018,Monclova
p10m,5019,Morelos
p10m,5020,Múzquiz
p10m,5021,Nadadores
p10m,5022,Nava
p10m,5023,Ocampo
p10m,5024,Parras
p10m,5025,Piedras Negras
p10m,5026,Progreso
p10m,5027,Ramos Arizpe
p10m,5028,Sabinas
p10m,5029,Sacramento
p10m,5030,Saltillo
p10m,5031,San Buenaventura
p10m,5032,San Juan de Sabinas
p10m,5033,San Pedro
p10m,5034,Sierra Mojada
p10m,5035,Torreón
p10m,5036,Viesca
p10m,5037,Villa Unión
p10m,5038,Zaragoza
p10m,6001,Armería
p10m,6002,Colima
p10m,6003,Comala
p10m,6004,Coquimatlán
p10m,6005,Cuauhtémoc
p10m,6006,Ixtlahuacán
p10m,6007,Manzanillo
p10m,6008,Minatitlán
p10m,6009,Tecomán
p10m,6010,Villa de Álvarez
p10m,7001,Acacoyagua
p10m,7002,Acala
p10m,7003,Acapetahua
p10m,7004,Altamirano
p10m,7005,Amatán
p10m,7006,Amatenango de la Frontera
p10m,7007,Amatenango del Valle
p10m,7008,Ángel Albino Corzo
p10m,7009,Arriaga
p10m,7010,Bejucal de Ocampo
p10m,7011,Bella Vista
p10m,7012,Berriozábal
p10m,7013,Bochil
p10m,7014,El Bosque
p10m,7015,Cacahoatán
p10m,7016,Catazajá
p10m,7017,Cintalapa
p10m,7018,Coapilla
p10m,7019,Comitán de Domínguez
p10m,7020,La Concordia
p10m,7021,Copainalá
p10m,7022,Chalchihuitán
p10m,7023,Chamula
p10m,7024,Chanal
p10m,7025,Chapultenango
p10m,7026,Chenalhó
p10m,7027,Chiapa de Corzo
p10m,7028,Chiapilla
p10m,7029,Chicoasén
p10m,7030,Chicomuselo
p10m,7031,Chilón
p10m,7032,Escuintla
p10m,7033,Francisco León
p10m,7034,Frontera Comalapa
p10m,7035,Frontera Hidalgo
p10m,7036,La Grandeza
p10m,7037,Huehuetán
p10m,7038,Huixtán
p10m,7039,Huitiupán
p10m,7040,Huixtla
p10m,7041,La Independencia
p10m,7042,Ixhuatán
p10m,7043,Ixtacomitán
p10m,7044,Ixtapa
p10m,7045,Ixtapangajoya
p10m,7046,Jiquipilas
p10m,7047,Jitotol
p10m,7048,Juárez
p10m,7049,Larráinzar
p10m,7050,La Libertad
p10m,7051,Mapastepec
p10m,7052,Las Margaritas
p10m,7053,Mazapa de Madero
p10m,7054,Mazatán
p10m,7055,Metapa
p10m,7056,Mitontic
p10m,7057,Motozintla
p10m,7058,Nicolás Ruíz
p10m,7059,Ocosingo
p10m,7060,Ocotepec
p10m,7061,Ocozocoautla de Espinosa
p10m,7062,Ostuacán
p10m,7063,Osumacinta
p10m,7064,Oxchuc
p10m,7065,Palenque
p10m,7066,Pantelhó
p10m,7067,Pantepec
p10m,7068,Pichucalco
p10m,7069,Pijijiapan
p10m,7070,El Porvenir
p10m,7071,Villa Comaltitlán
p10m,7072,Pueblo Nuevo Solistahuacán
p10m,7073,Rayón
p10m,7074,Reforma
p10m,7075,Las Rosas
p10m,7076,Sabanilla
p10m,7077,Salto de Agua
p10m,7078,San Cristóbal de las Casas
p10m,7079,San Fernando
p10m,7080,Siltepec
p10m,7081,Simojovel
p10m,7082,Sitalá
p10m,7083,Socoltenango
p10m,7084,Solosuchiapa
p10m,7085,Soyaló
p10m,7086,Suchiapa
p10m,7087,Suchiate
p10m,7088,Sunuapa
p10m,7089,Tapachula
p10m,7090,Tapalapa
p10m,7091,Tapilula
p10m,7092,Tecpatán
p10m,7093,Tenejapa
p10m,7094,Teopisca
p10m,7096,Tila
p10m,7097,Tonalá
p10m,7098,Totolapa
p10m,7099,La Trinitaria
p10m,7100,Tumbalá
p10m,7101,Tuxtla Gutiérrez
p10m,7102,Tuxtla Chico
p10m,7103,Tuzantán
p10m,7104,Tzimol
p10m,7105,Unión Juárez
p10m,7106,Venustiano Carranza
p10m,7107,Villa Corzo
p10m,7108,Villaflores
p10m,7109,Yajalón
p10m,7110,San Lucas
p10m,7111,Zinacantán
p10m,7112,San Juan Cancuc
p10m,7113,Aldama
p10m,7114,Benemérito de las Américas
p10m,7115,Maravilla Tenejapa
p10m,7116,Marqués de Comillas
p10m,7117,Montecristo de Guerrero
p10m,7118,San Andrés Duraznal
p10m,7119,Santiago el Pinar
p10m,8001,Ahumada
p10m,8002,Aldama
p10m,8003,Allende
p10m,8004,Aquiles Serdán
p10m,8005,Ascensión
p10m,8006,Bachíniva
p10m,8007,Balleza
p10m,8008,Batopilas
p10m,8009,Bocoyna
p10m,8010,Buenaventura
p10m,8011,Camargo
p10m,8012,Carichí
p10m,8013,Casas Grandes
p10m,8014,Coronado
p10m,8015,Coyame del Sotol
p10m,8016,La Cruz
p10m,8017,Cuauhtémoc
p10m,8018,Cusihuiriachi
p10m,8019,Chihuahua
p10m,8020,Chínipas
p10m,8021,Delicias
p10m,8022,Dr. Belisario Domínguez
p10m,8023,Galeana
p10m,8024,Santa Isabel
p10m,8025,Gómez Farías
p10m,8026,Gran Morelos
p10m,8027,Guachochi
p10m,8028,Guadalupe
p10m,8029,Guadalupe y Calvo
p10m,8030,Guazapares
p10m,8031,Guerrero
p10m,8032,Hidalgo del Parral
p10m,8033,Huejotitán
p10m,8034,Ignacio Zaragoza
p10m,8035,Janos
p10m,8036,Jiménez
p10m,8037,Juárez
p10m,8038,Julimes
p10m,8039,López
p10m,8040,Madera
p10m,8041,Maguarichi
p10m,8042,Manuel Benavides
p10m,8043,Matachí
p10m,8044,Matamoros
p10m,8045,Meoqui
p10m,8046,Morelos
p10m,8047,Moris
p10m,8048,Namiquipa
p10m,8049,Nonoava
p10m,8050,Nuevo Casas Grandes
p10m,8051,Ocampo
p10m,8052,Ojinaga
p10m,8053,Praxedis G. Guerrero
p10m,8054,Riva Palacio
p10m,8055,Rosales
p10m,8056,Rosario
p10m,8057,San Francisco de Borja
p10m,8058,San Francisco de Conchos
p10m,8059,San Francisco del Oro
p10m,8060,Santa Bárbara
p10m,8061,Satevó
p10m,8062,Saucillo
p10m,8063,Temósachic
p10m,8064,El Tule
p10m,8065,Urique
p10m,8066,Uruachi
p10m,8067,Valle de Zaragoza
p10m,9002,Azcapotzalco
p10m,9003,Coyoacán
